timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1497032424293,252,HTTP Request,200,,TenThreadClusterInstance 1-3,text,true,,3851,185,10,10,252,0,0
1497032424103,443,HTTP Request,200,,TenThreadClusterInstance 1-7,text,true,,5431,195,10,10,442,0,0
1497032424220,345,HTTP Request,200,,TenThreadClusterInstance 1-4,text,true,,6430,211,10,10,345,0,0
1497032424116,471,HTTP Request,200,,TenThreadClusterInstance 1-1,text,true,,3746,155,10,10,471,0,0
1497032424335,382,HTTP Request,200,,TenThreadClusterInstance 1-10,text,true,,6848,151,10,10,381,0,0
1497032424352,370,HTTP Request,200,,TenThreadClusterInstance 1-6,text,true,,4014,217,10,10,370,0,0
1497032424432,326,HTTP Request,200,,TenThreadClusterInstance 1-2,text,true,,3821,177,10,10,326,0,0
1497032424280,518,HTTP Request,200,,TenThreadClusterInstance 1-9,text,true,,3737,157,10,10,518,0,0
1497032424298,515,HTTP Request,200,,TenThreadClusterInstance 1-5,text,true,,7462,161,10,10,514,0,0
1497032424546,341,HTTP Request,200,,TenThreadClusterInstance 1-8,text,true,,3988,215,10,10,340,0,0
1497032424546,349,HTTP Request,200,,TenThreadClusterInstance 1-3,text,true,,4037,227,10,10,349,0,0
1497032424546,399,HTTP Request,200,,TenThreadClusterInstance 1-7,text,true,,4336,213,10,10,399,0,0
1497032424566,418,HTTP Request,200,,TenThreadClusterInstance 1-4,text,true,,3825,171,10,10,418,0,0
1497032424722,297,HTTP Request,200,,TenThreadClusterInstance 1-6,text,true,,4045,193,10,10,297,0,0
1497032424759,270,HTTP Request,200,,TenThreadClusterInstance 1-2,text,true,,6690,185,10,10,270,0,0
1497032424588,469,HTTP Request,200,,TenThreadClusterInstance 1-1,text,true,,3811,181,10,10,469,0,71
1497032424717,351,HTTP Request,200,,TenThreadClusterInstance 1-10,text,true,,7241,215,10,10,350,0,72
1497032424813,300,HTTP Request,200,,TenThreadClusterInstance 1-5,text,true,,5517,191,10,10,300,0,0
1497032424887,230,HTTP Request,200,,TenThreadClusterInstance 1-8,text,true,,4083,197,10,10,230,0,0
1497032424895,272,HTTP Request,200,,TenThreadClusterInstance 1-3,text,true,,3786,161,10,10,272,0,0
1497032424798,371,HTTP Request,200,,TenThreadClusterInstance 1-9,text,true,,3776,169,10,10,370,0,72
1497032424985,360,HTTP Request,200,,TenThreadClusterInstance 1-4,text,true,,4250,233,10,10,360,0,0
1497032425068,277,HTTP Request,200,,TenThreadClusterInstance 1-10,text,true,,4490,153,10,10,277,0,0
1497032424945,433,HTTP Request,200,,TenThreadClusterInstance 1-7,text,true,,3801,171,10,10,432,0,72
1497032425113,271,HTTP Request,200,,TenThreadClusterInstance 1-5,text,true,,3908,195,10,10,270,0,73
1497032425058,356,HTTP Request,200,,TenThreadClusterInstance 1-1,text,true,,4018,225,10,10,356,0,0
