timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1496978986108,132,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4530,171,1,1,131,0,0
1496978986241,250,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,22765,145,1,1,178,0,0
1496978986492,130,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3472,153,1,1,130,0,0
1496978986623,141,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4520,166,1,1,141,0,0
1496978986765,132,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5110,160,1,1,132,0,0
1496978986897,210,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4230,147,1,1,210,0,72
1496978987107,131,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5275,154,1,1,130,0,0
1496978987238,131,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,13826,149,1,1,130,0,0
1496978987370,134,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3471,146,1,1,132,0,0
1496978987505,130,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3718,155,1,1,130,0,0
1496978987636,129,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3521,156,1,1,127,0,0
1496978987766,212,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,14505,155,1,1,139,0,0
1496978987978,166,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,12778,150,1,1,165,0,0
1496978988144,131,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3441,146,1,1,130,0,0
1496978988275,141,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,6283,154,1,1,141,0,0
1496978988417,143,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3665,148,1,1,142,0,0
1496978988561,166,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5158,166,1,1,166,0,0
1496978988728,131,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5206,176,1,1,131,0,0
1496978988860,128,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3773,174,1,1,128,0,0
1496978988989,198,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3887,150,1,1,197,0,71
1496978989188,131,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,6357,176,1,1,131,0,0
1496978989320,127,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3604,177,1,1,127,0,0
1496978989448,136,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3543,166,1,1,136,0,0
1496978989585,127,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3668,191,1,1,127,0,0
1496978989712,147,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4718,165,1,1,147,0,0
1496978989860,304,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,30266,155,1,1,156,0,0
1496978990165,128,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3646,151,1,1,128,0,0
1496978990294,142,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5312,182,1,1,142,0,0
1496978990437,134,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,9408,147,1,1,133,0,0
1496978990572,144,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5205,185,1,1,144,0,0
1496978990717,137,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4511,166,1,1,137,0,0
1496978990854,187,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4320,165,1,1,186,0,0
1496978991042,253,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3446,147,1,1,253,0,72
1496978991296,154,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3553,160,1,1,154,0,0
1496978991451,125,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5118,154,1,1,125,0,0
1496978991577,297,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,22152,144,1,1,170,0,0
1496978991875,139,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5501,148,1,1,138,0,0
1496978992015,138,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4662,151,1,1,138,0,0
1496978992154,129,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3556,165,1,1,128,0,0
1496978992284,139,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3551,164,1,1,139,0,0
1496978992423,755,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,106904,146,1,1,314,0,0
1496978993179,208,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,6689,153,1,1,207,0,72
1496978993388,127,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3583,174,1,1,127,0,0
1496978993515,121,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3769,170,1,1,121,0,0
1496978993637,134,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3606,169,1,1,134,0,0
1496978993771,124,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3634,176,1,1,124,0,0
1496978993896,127,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,8259,151,1,1,127,0,0
1496978994024,127,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4624,154,1,1,127,0,0
1496978994151,133,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3502,155,1,1,133,0,0
1496978994285,129,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5043,151,1,1,129,0,0
1496978994415,121,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3630,170,1,1,121,0,0
1496978994537,127,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5335,173,1,1,127,0,0
1496978994665,134,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,11500,153,1,1,134,0,0
1496978994800,129,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5365,148,1,1,129,0,0
1496978994930,126,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5043,153,1,1,126,0,0
1496978995057,145,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3620,173,1,1,145,0,0
1496978995203,224,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5819,152,1,1,223,0,77
1496978995428,453,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,49557,148,1,1,217,0,0
1496978995881,145,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3588,171,1,1,144,0,0
1496978996027,133,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3538,163,1,1,133,0,0
1496978996160,137,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3532,165,1,1,135,0,0
1496978996298,125,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3521,155,1,1,125,0,0
1496978996424,141,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5164,148,1,1,141,0,0
1496978996566,143,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4276,151,1,1,143,0,0
1496978996710,224,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,16381,162,1,1,147,0,0
1496978996935,149,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5046,153,1,1,145,0,0
1496978997084,137,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3540,160,1,1,136,0,0
1496978997221,197,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4855,151,1,1,196,0,72
1496978997419,140,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3823,182,1,1,140,0,0
1496978997559,435,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,49215,149,1,1,218,0,0
